Accession,group1,group2
SSA_298,2299,1263
SSA_175,2109,1264
SSA_117,1265,2064
SSA_153,2288,1266
SSA_190,2242,1267
SSA_224,2153,1268
SSA_104,2018,1269
SSA_261,1270,2127
SSA_167,1271,2270
SSA_031,2087,1272
SSA_092,2183,1273
SSA_248,1274,2147
SSA_269,1275,2074
SSA_232,2100,1276
SSA_115,1277,2027
SSA_027,1278,2046
SSA_217,1279,2002
SSA_065,1280,2014
SSA_256,2145,1281
SSA_086,2012,1282
SSA_021,1283,2073
SSA_163,2295,1284
SSA_180,1285,2006
SSA_047,2031,1286
SSA_257,1287,2102
SSA_237,2181,1288
SSA_020,2150,1289
SSA_140,2178,1290
SSA_124,1291,2076
SSA_036,2011,1292
SSA_306,2311,1293
SSA_079,1294,2042
SSA_247,2256,1295
SSA_339,2168,1296
SSA_222,1297,2030
SSA_318,2279,1298
SSA_211,1299,2294
SSA_160,1300,2094
SSA_107,1301,2003
SSA_346,1302,2099
SSA_132,2182,1303
SSA_292,1304,2080
SSA_109,2301,1305
SSA_026,2274,1306
SSA_005,1307,2222
SSA_184,2072,1308
SSA_230,2092,1309
SSA_309,1310,2110
SSA_042,2189,1311
SSA_133,2137,1312
SSA_266,1313,2230
SSA_094,1314,2199
SSA_280,2119,1315
SSA_169,2020,1316
SSA_029,2112,1317
SSA_205,1318,2134
SSA_136,1319,2257
SSA_118,1320,2207
