"Plot","Repeat","A_maxCO2","CO2"
2022,3,28.8790621903588,1399.85
2198,2,30.5588140461029,1249.9
2023,1,38.3549141540208,1250.12
2304,2,22.9625608711242,1400.44
2289,1,37.0912341186469,1400
1122,3,29.6999356285388,1399.98
2089,3,22.4382949774193,1250.19
1137,2,29.9376041863263,1250.28
2312,2,26.9037063109911,1400.29
2072,1,31.0068374676079,1249.97
1273,3,48.1479313635991,1250
2160,2,38.5637783810219,1249.92
