Accession,group1,group2
B1K-30-20,2265,1162
B1K-17-18,1163,2103
B1K-02-14,1164,2062
B1K-15-04,1165,2042
B1K-25-08,2192,1166
B1K-27-11,2072,1167
B1K-15-05,2148,1168
B1K-42-07,1169,2201
B1K-26-16,1170,2086
B1K-29-13,1171,2164
B1K-30-03,1172,2016
B1K-26-08,2122,1173
B1K-41-11,2136,1174
B1K-08-10,1175,2227
B1K-09-01,1176,2020
B1K-09-11,2138,1177
B1K-01-20,1178,2241
B1K-36-06,1179,2048
B1K-49-11,1180,2270
B1K-36-04,2067,1181
B1K-08-18,2097,1182
B1K-09-18,1183,2158
B1K-08-05,2128,1184
B1K-35-08,1185,2081
B1K-50-04,2190,1186
B1K-11-15,2054,1187
B1K-04-08,2024,1188
B1K-22-16,1189,2203
B1K-19-12,2165,1190
B1K-16-06,1191,2210
B1K-03-10,1192,2239
B1K-40-11,1193,2021
B1K-10-12,1194,2006
B1K-03-09,2225,1195
B1K-47-12,2049,1196
B1K-50-12,1197,2245
B1K-02-02,1198,2096
B1K-38-20,1199,2105
B1K-42-10,2217,1200
B1K-35-11,2167,1201
B1K-22-14,2043,1202
B1K-05-13,2140,1203
B1K-36-16,2079,1204
B1K-24-05,1205,2126
B1K-48-03,2188,1206
B1K-03-11,2261,1207
B1K-18-18,2154,1208
B1K-37-06,2109,1209
B1K-32-02,2215,1210
B1K-51-07,2155,1211
B1K-44-20,1212,2091
B1K-28-17,2141,1213
B1K-04-04,1214,2075
B1K-18-09,1215,2183
B1K-20-13,1216,2207
B1K-26-09,1217,2060
B1K-15-19,2014,1218
B1K-24-18,1219,2115
B1K-37-15,2045,1220
B1K-48-13,2231,1221
B1K-38-01,1222,2263
B1K-09-03,1223,2018
B1K-43-05,1224,2171
B1K-19-08,2112,1225
B1K-23-12,1226,2089
B1K-42-16,2238,1227
B1K-12-10,2123,1228
B1K-47-08,1229,2135
B1K-10-03,2022,1230
B1K-17-13,1231,2056
B1K-50-14,2272,1232
B1K-35-20,2003,1233
B1K-34-20,1234,2078
B1K-05-17,1235,2156
B1K-08-17,1236,2174
B1K-12-05,2209,1237
B1K-04-20,2196,1238
B1K-13-03,2242,1239
B1K-06-01,2186,1240
B1K-43-04,1241,2206
B1K-20-08,2093,1242
B1K-02-01,1243,2053
B1K-05-07,1244,2184
B1K-06-07,1245,2027
B1K-11-20,2147,1246
B1K-39-16,1247,2129
B1K-18-05,1248,2269
B1K-18-02,1249,2073
B1K-08-01,1250,2100
B1K-19-05,1251,2244
B1K-15-20,1252,2010
B1K-02-13,2119,1253
B1K-20-01,1254,2229
B1K-28-07,2035,1255
B1K-41-18,2223,1256
B1K-44-14,1257,2117
B1K-33-19,1258,2170
B1K-40-17,2132,1259
B1K-51-01,2041,1260
B1K-21-15,2064,1261
B1K-26-13,1262,2212
B1K-32-18,2179,1263
B1K-14-01,1264,2243
B1K-43-20,2080,1265
B1K-23-01,1266,2023
B1K-21-03,1267,2199
B1K-49-04,2001,1268
B1K-36-15,2262,1269
B1K-36-02,2087,1270
B1K-22-10,2232,1271
B1K-13-10,1272,2145
