Accession,group1,group2
SSA_298,2299,1263
SSA_175,1264,2109
SSA_117,2064,1265
SSA_153,2288,1266
SSA_190,1267,2242
SSA_224,1268,2153
SSA_104,1269,2018
SSA_261,1270,2127
SSA_167,1271,2270
SSA_031,2087,1272
SSA_092,2183,1273
SSA_248,2147,1274
SSA_269,2074,1275
SSA_232,1276,2100
SSA_115,2027,1277
SSA_027,1278,2046
SSA_217,2002,1279
SSA_065,1280,2014
SSA_256,1281,2145
SSA_086,2012,1282
SSA_021,2073,1283
SSA_163,2295,1284
SSA_180,1285,2006
SSA_047,1286,2031
SSA_257,2102,1287
SSA_237,1288,2181
SSA_020,1289,2150
SSA_140,2178,1290
SSA_124,2076,1291
SSA_036,2011,1292
SSA_306,1293,2311
SSA_079,2042,1294
SSA_247,1295,2256
SSA_339,2168,1296
SSA_222,1297,2030
SSA_318,2279,1298
SSA_211,1299,2294
SSA_160,1300,2094
SSA_107,2003,1301
SSA_346,2099,1302
SSA_132,1303,2182
SSA_292,2080,1304
SSA_109,2301,1305
SSA_026,2274,1306
SSA_005,1307,2222
SSA_184,1308,2072
SSA_230,2092,1309
SSA_309,1310,2110
SSA_042,1311,2189
SSA_133,1312,2137
SSA_266,2230,1313
SSA_094,1314,2199
SSA_280,1315,2119
SSA_169,2020,1316
SSA_029,2112,1317
SSA_205,2134,1318
SSA_136,2257,1319
SSA_118,2207,1320
