Accession,group1,group2
B1K-30-20,1162,2265
B1K-17-18,1163,2103
B1K-02-14,1164,2062
B1K-15-04,1165,2042
B1K-25-08,1166,2192
B1K-27-11,2072,1167
B1K-15-05,2148,1168
B1K-42-07,2201,1169
B1K-26-16,2086,1170
B1K-29-13,2164,1171
B1K-30-03,1172,2016
B1K-26-08,2122,1173
B1K-41-11,2136,1174
B1K-08-10,1175,2227
B1K-09-01,2020,1176
B1K-09-11,2138,1177
B1K-01-20,2241,1178
B1K-36-06,1179,2048
B1K-49-11,1180,2270
B1K-36-04,2067,1181
B1K-08-18,1182,2097
B1K-09-18,1183,2158
B1K-08-05,1184,2128
B1K-35-08,1185,2081
B1K-50-04,2190,1186
B1K-11-15,1187,2054
B1K-04-08,2024,1188
B1K-22-16,2203,1189
B1K-19-12,1190,2165
B1K-16-06,2210,1191
B1K-03-10,2239,1192
B1K-40-11,2021,1193
B1K-10-12,1194,2006
B1K-03-09,1195,2225
B1K-47-12,1196,2049
B1K-50-12,1197,2245
B1K-02-02,2096,1198
B1K-38-20,1199,2105
B1K-42-10,1200,2217
B1K-35-11,1201,2167
B1K-22-14,1202,2043
B1K-05-13,1203,2140
B1K-36-16,2079,1204
B1K-24-05,1205,2126
B1K-48-03,1206,2188
B1K-03-11,1207,2261
B1K-18-18,1208,2154
B1K-37-06,1209,2109
B1K-32-02,1210,2215
B1K-51-07,2155,1211
B1K-44-20,1212,2091
B1K-28-17,2141,1213
B1K-04-04,2075,1214
B1K-18-09,1215,2183
B1K-20-13,1216,2207
B1K-26-09,2060,1217
B1K-15-19,2014,1218
B1K-24-18,2115,1219
B1K-37-15,1220,2045
B1K-48-13,1221,2231
B1K-38-01,2263,1222
B1K-09-03,1223,2018
B1K-43-05,2171,1224
B1K-19-08,2112,1225
B1K-23-12,2089,1226
B1K-42-16,2238,1227
B1K-12-10,1228,2123
B1K-47-08,2135,1229
B1K-10-03,2022,1230
B1K-17-13,2056,1231
B1K-50-14,1232,2272
B1K-35-20,2003,1233
B1K-34-20,1234,2078
B1K-05-17,2156,1235
B1K-08-17,2174,1236
B1K-12-05,1237,2209
B1K-04-20,1238,2196
B1K-13-03,1239,2242
B1K-06-01,2186,1240
B1K-43-04,1241,2206
B1K-20-08,2093,1242
B1K-02-01,2053,1243
B1K-05-07,2184,1244
B1K-06-07,2027,1245
B1K-11-20,2147,1246
B1K-39-16,1247,2129
B1K-18-05,1248,2269
B1K-18-02,1249,2073
B1K-08-01,2100,1250
B1K-19-05,1251,2244
B1K-15-20,2010,1252
B1K-02-13,2119,1253
B1K-20-01,2229,1254
B1K-28-07,2035,1255
B1K-41-18,2223,1256
B1K-44-14,1257,2117
B1K-33-19,2170,1258
B1K-40-17,2132,1259
B1K-51-01,2041,1260
B1K-21-15,2064,1261
B1K-26-13,1262,2212
B1K-32-18,2179,1263
B1K-14-01,2243,1264
B1K-43-20,2080,1265
B1K-23-01,2023,1266
B1K-21-03,2199,1267
B1K-49-04,1268,2001
B1K-36-15,2262,1269
B1K-36-02,1270,2087
B1K-22-10,1271,2232
B1K-13-10,1272,2145
