Accession,group1,group2
B1K-08-16,2228,1077
B1K-34-06,2071,1078
B1K-15-17,2267,1079
B1K-22-02,2032,1080
B1K-26-05,1081,2249
B1K-28-01,2236,1082
B1K-37-19,2055,1083
B1K-10-18,1084,2082
B1K-30-11,2037,1085
B1K-27-08,1086,2011
B1K-11-18,1087,2114
B1K-34-02,2029,1088
B1K-19-01,2108,1089
B1K-43-11,2185,1090
B1K-36-19,2134,1091
B1K-18-03,1092,2065
B1K-17-17,1093,2175
B1K-35-04,1094,2266
B1K-12-06,1095,2195
B1K-03-16,1096,2220
B1K-46-15,2059,1097
B1K-19-15,1098,2130
B1K-46-03,1099,2009
B1K-23-02,1100,2034
B1K-13-14,2161,1101
B1K-22-18,1102,2182
B1K-29-02,2151,1103
B1K-27-15,1104,2068
B1K-16-15,1105,2251
B1K-09-16,2017,1106
B1K-05-03,2205,1107
B1K-23-19,2224,1108
B1K-17-01,1109,2116
B1K-02-16,1110,2084
B1K-23-11,1111,2240
B1K-20-20,2110,1112
B1K-21-10,1113,2257
B1K-24-07,1114,2194
B1K-46-20,1115,2166
B1K-08-03,2095,1116
B1K-13-15,2033,1117
B1K-17-03,2070,1118
B1K-09-07,1119,2098
B1K-37-11,2124,1120
B1K-45-05,2235,1121
B1K-04-12,1122,2160
B1K-25-09,2219,1123
B1K-23-07,2008,1124
B1K-33-09,2178,1125
B1K-50-20,1126,2143
B1K-09-10,1127,2248
B1K-06-10,1128,2052
B1K-29-20,1129,2187
B1K-48-06,1130,2208
B1K-43-15,2163,1131
B1K-20-10,2074,1132
B1K-30-13,2004,1133
B1K-49-08,1134,2221
B1K-41-03,2255,1135
B1K-05-16,2094,1136
B1K-05-10,1137,2061
B1K-02-12,1138,2133
B1K-15-07,2106,1139
B1K-28-10,1140,2040
B1K-02-04,2146,1141
B1K-22-12,1142,2025
B1K-35-19,2233,1143
B1K-16-10,1144,2258
B1K-11-04,1145,2260
B1K-11-05,2226,1146
B1K-14-04,1147,2191
B1K-41-13,2176,1148
B1K-36-11,1149,2125
B1K-10-01,2028,1150
B1K-08-06,2013,1151
B1K-34-10,1152,2038
B1K-24-02,1153,2083
B1K-08-08,1154,2247
B1K-44-09,2218,1155
B1K-32-13,1156,2197
B1K-25-15,2077,1157
B1K-31-01,1158,2159
B1K-51-10,1159,2144
B1K-51-19,2102,1160
B1K-09-04,1161,2250
B1K-30-20,2265,1162
B1K-17-18,1163,2103
B1K-02-14,1164,2062
B1K-15-04,1165,2042
B1K-25-08,2192,1166
B1K-27-11,2072,1167
B1K-15-05,2148,1168
B1K-42-07,1169,2201
B1K-26-16,1170,2086
B1K-29-13,1171,2164
B1K-30-03,1172,2016
B1K-26-08,1173,2122
B1K-41-11,1174,2136
B1K-08-10,2227,1175
B1K-09-01,2020,1176
B1K-09-11,2138,1177
B1K-01-20,1178,2241
B1K-36-06,1179,2048
B1K-49-11,1180,2270
B1K-36-04,2067,1181
B1K-08-18,1182,2097
B1K-09-18,2158,1183
B1K-08-05,1184,2128
B1K-35-08,2081,1185
B1K-50-04,1186,2190
B1K-11-15,1187,2054
B1K-04-08,2024,1188
B1K-22-16,1189,2203
B1K-19-12,2165,1190
B1K-16-06,2210,1191
B1K-03-10,2239,1192
B1K-40-11,2021,1193
B1K-10-12,1194,2006
B1K-03-09,2225,1195
B1K-47-12,1196,2049
B1K-50-12,1197,2245
B1K-02-02,1198,2096
B1K-38-20,2105,1199
B1K-42-10,1200,2217
B1K-35-11,1201,2167
B1K-22-14,1202,2043
B1K-05-13,1203,2140
B1K-36-16,2079,1204
B1K-24-05,2126,1205
B1K-48-03,1206,2188
B1K-03-11,1207,2261
B1K-18-18,2154,1208
B1K-37-06,1209,2109
B1K-32-02,2215,1210
B1K-51-07,2155,1211
B1K-44-20,1212,2091
B1K-28-17,1213,2141
B1K-04-04,2075,1214
B1K-18-09,2183,1215
B1K-20-13,2207,1216
B1K-26-09,2060,1217
B1K-15-19,2014,1218
B1K-24-18,2115,1219
B1K-37-15,1220,2045
B1K-48-13,1221,2231
B1K-38-01,2263,1222
B1K-09-03,1223,2018
B1K-43-05,2171,1224
B1K-19-08,1225,2112
B1K-23-12,2089,1226
B1K-42-16,1227,2238
B1K-12-10,1228,2123
B1K-47-08,2135,1229
B1K-10-03,2022,1230
B1K-17-13,2056,1231
B1K-50-14,2272,1232
B1K-35-20,1233,2003
B1K-34-20,1234,2078
B1K-05-17,1235,2156
B1K-08-17,1236,2174
B1K-12-05,2209,1237
B1K-04-20,2196,1238
B1K-13-03,1239,2242
B1K-06-01,1240,2186
B1K-43-04,2206,1241
B1K-20-08,2093,1242
B1K-02-01,2053,1243
B1K-05-07,1244,2184
B1K-06-07,1245,2027
B1K-11-20,1246,2147
B1K-39-16,2129,1247
B1K-18-05,2269,1248
B1K-18-02,2073,1249
B1K-08-01,1250,2100
B1K-19-05,2244,1251
B1K-15-20,1252,2010
B1K-02-13,2119,1253
B1K-20-01,2229,1254
B1K-28-07,1255,2035
B1K-41-18,1256,2223
B1K-44-14,1257,2117
B1K-33-19,2170,1258
B1K-40-17,1259,2132
B1K-51-01,1260,2041
B1K-21-15,2064,1261
B1K-26-13,2212,1262
B1K-32-18,2179,1263
B1K-14-01,1264,2243
B1K-43-20,2080,1265
B1K-23-01,2023,1266
B1K-21-03,1267,2199
B1K-49-04,2001,1268
B1K-36-15,1269,2262
B1K-36-02,2087,1270
B1K-22-10,1271,2232
B1K-13-10,1272,2145
