Accession,group1,group2
SSA_00234,2035,1107
SSA_00254,2175,1108
SSA_00027,2128,1109
SSA_00135,2204,1110
SSA_00007,2253,1111
SSA_00189,2199,1112
SSA_00005,1113,2141
SSA_00131,2110,1114
SSA_00152,1115,2240
SSA_00380,2188,1116
SSA_00001,2228,1117
SSA_00310,2010,1118
SSA_00064,1119,2161
SSA_00311,1120,2090
SSA_00185,2069,1121
SSA_00301,1122,2315
SSA_00145,2156,1123
SSA_00196,1124,2294
SSA_00203,2308,1125
SSA_00268,2299,1126
SSA_00089,1127,2019
SSA_00013,1128,2055
SSA_00285,2249,1129
SSA_00055,2226,1130
SSA_00250,1131,2109
SSA_00127,2238,1132
SSA_00190,1133,2283
SSA_00172,2224,1134
SSA_00035,1135,2266
SSA_00265,1136,2166
SSA_00033,1137,2298
SSA_00235,1138,2150
SSA_00085,1139,2051
SSA_00119,1140,2023
SSA_00040,1141,2153
SSA_00014,2181,1142
SSA_00144,1143,2248
SSA_00062,1144,2066
SSA_00056,1145,2068
SSA_00318,1146,2053
SSA_00279,2289,1147
SSA_00240,2060,1148
SSA_00025,1149,2155
SSA_00298,2316,1150
SSA_00299,1151,2081
SSA_00102,1152,2311
SSA_00170,2285,1153
SSA_00195,2206,1154
SSA_00366,2237,1155
SSA_00018,2105,1156
SSA_00239,2217,1157
SSA_00271,1158,2230
SSA_00113,2254,1159
SSA_00150,2267,1160
SSA_00077,2167,1161
SSA_00130,2220,1162
SSA_00065,2111,1163
SSA_00247,2192,1164
SSA_00237,1165,2270
SSA_00054,1166,2016
SSA_00353,2229,1167
SSA_00116,1168,2239
SSA_00309,2034,1169
SSA_00173,1170,2171
SSA_00274,1171,2261
SSA_00036,1172,2202
SSA_00213,1173,2197
SSA_00341,2127,1174
SSA_00004,2032,1175
SSA_00061,1176,2273
SSA_00012,2131,1177
SSA_00312,2157,1178
SSA_00133,1179,2244
SSA_00278,1180,2302
SSA_00101,1181,2151
SSA_00276,2020,1182
SSA_00078,1183,2072
SSA_00120,2177,1184
SSA_00037,1185,2106
SSA_00099,1186,2277
SSA_00114,2268,1187
SSA_00178,2287,1188
SSA_00293,2201,1189
SSA_00300,1190,2172
SSA_00045,2219,1191
SSA_00088,2252,1192
SSA_00273,1193,2286
SSA_00066,2169,1194
SSA_00095,2025,1195
SSA_00111,1196,2193
SSA_00024,2207,1197
SSA_00386,1198,2122
SSA_00043,1199,2033
SSA_00151,2275,1200
SSA_00343,2049,1201
SSA_00156,1202,2159
SSA_00294,2307,1203
SSA_00098,2024,1204
SSA_00028,2070,1205
SSA_00222,2083,1206
SSA_00057,2291,1207
SSA_00198,1208,2320
SSA_00359,2297,1209
SSA_00123,1210,2093
SSA_00137,1211,2147
SSA_00141,1212,2130
SSA_00084,2182,1213
SSA_00016,2243,1214
SSA_00096,2139,1215
SSA_00181,1216,2018
SSA_00100,1217,2136
SSA_00124,2152,1218
SSA_00142,2303,1219
SSA_00112,2092,1220
SSA_00395,2137,1221
SSA_00288,1222,2242
SSA_00204,2183,1223
SSA_00148,2187,1224
SSA_00227,2120,1225
SSA_00257,1226,2003
SSA_00174,2102,1227
SSA_00163,2293,1228
SSA_00121,1229,2059
SSA_00002,1230,2086
SSA_00193,1231,2044
SSA_00191,1232,2075
SSA_00245,2173,1233
SSA_00236,2126,1234
SSA_00052,2260,1235
SSA_00058,2210,1236
SSA_00202,2026,1237
SSA_00159,1238,2276
SSA_00158,1239,2196
SSA_00272,2040,1240
SSA_00143,1241,2149
SSA_00207,1242,2132
SSA_00149,1243,2091
SSA_00229,1244,2190
SSA_00252,2236,1245
SSA_00317,2162,1246
SSA_00059,2014,1247
SSA_00275,2140,1248
SSA_00122,2103,1249
SSA_00017,2117,1250
SSA_00103,2262,1251
SSA_00210,2073,1252
SSA_00011,2043,1253
SSA_00153,1254,2030
SSA_00126,2002,1255
SSA_00020,2215,1256
SSA_00283,2037,1257
SSA_00256,2274,1258
SSA_00289,1259,2176
SSA_00019,1260,2255
SSA_00282,1261,2121
SSA_00218,2205,1262
SSA_00253,2269,1263
SSA_00076,1264,2282
SSA_00246,2114,1265
SSA_00118,1266,2125
SSA_00182,2041,1267
SSA_00097,1268,2194
SSA_00244,2039,1269
SSA_00186,1270,2258
SSA_00208,1271,2216
SSA_00233,2029,1272
SSA_00138,1273,2221
SSA_00215,1274,2189
SSA_00083,2009,1275
SSA_00248,1276,2231
SSA_00184,1277,2112
SSA_00147,1278,2168
SSA_00243,1279,2235
SSA_00316,2096,1280
SSA_00094,2095,1281
SSA_00090,2129,1282
SSA_00146,2165,1283
SSA_00175,1284,2225
SSA_00063,1285,2144
SSA_00226,2191,1286
SSA_00050,1287,2013
SSA_00217,2233,1288
SSA_00072,1289,2048
SSA_00221,1290,2257
SSA_00223,2098,1291
SSA_00048,1292,2116
SSA_00219,2007,1293
SSA_00021,2080,1294
SSA_00129,2058,1295
SSA_00166,2214,1296
SSA_00070,2006,1297
SSA_00015,1298,2064
SSA_00305,2119,1299
SSA_00110,2082,1300
SSA_00241,1301,2100
SSA_00176,1302,2079
SSA_00354,1303,2046
SSA_00346,1304,2213
SSA_00238,2245,1305
SSA_00060,1306,2056
SSA_00071,2305,1307
SSA_00162,1308,2300
SSA_00068,1309,2179
SSA_00376,2158,1310
SSA_00046,1311,2022
SSA_00169,2065,1312
SSA_00160,1313,2061
SSA_00039,2084,1314
SSA_00194,1315,2008
SSA_00403,1316,2319
SSA_00277,2118,1317
SSA_00125,2097,1318
SSA_00337,1319,2295
SSA_00093,1320,2076
